VDS_ID,window_start,ToVol_mean,Speed_mean,OccRate_mean,ToVol_std,free_frac,mod_frac,cong_frac,label,label_name,split
VDS0015,2017-04-01 08:00:00,116.83333333333333,50.166666666666664,4.8237499999999995,33.91506868720704,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 10:00:00,147.25,51.05416666666667,6.712083333333333,19.913399465206076,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 12:00:00,174.0,46.69166666666666,8.880416666666667,21.480021050916747,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 14:00:00,162.20833333333334,49.50833333333333,6.708749999999999,16.96538462170307,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 16:00:00,183.16666666666666,48.208333333333336,7.7004166666666665,30.17725412735007,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 18:00:00,154.08333333333334,48.88333333333333,6.629166666666666,29.203806581344484,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 20:00:00,93.75,49.40416666666667,4.3675,14.578870952884849,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-01 22:00:00,61.291666666666664,50.80833333333334,2.8312500000000003,17.336764571196714,0.125,0.875,0.0,1,moderate,test
VDS0015,2017-04-02 00:00:00,32.0,55.14166666666667,1.2966666666666666,9.780192938436514,0.5833333333333334,0.4166666666666667,0.0,0,free-flow,test
VDS0015,2017-04-02 02:00:00,15.208333333333334,59.51666666666667,0.6141666666666666,5.1917925752987815,0.7083333333333334,0.2916666666666667,0.0,0,free-flow,test
VDS0015,2017-04-02 04:00:00,13.166666666666666,58.43333333333334,0.6954166666666667,4.696591425118088,0.7083333333333334,0.2916666666666667,0.0,0,free-flow,test
VDS0015,2017-04-02 06:00:00,30.458333333333332,57.4,1.3104166666666666,8.230268454952101,0.75,0.25,0.0,0,free-flow,test
VDS0015,2017-04-02 08:00:00,73.08333333333333,54.862500000000004,2.7533333333333334,23.153395218518764,0.5416666666666666,0.4583333333333333,0.0,0,free-flow,test
VDS0015,2017-04-02 10:00:00,111.20833333333333,54.27916666666667,4.0475,21.813396694745155,0.20833333333333334,0.7916666666666666,0.0,1,moderate,test
VDS0015,2017-04-02 12:00:00,138.29166666666666,51.92916666666667,5.693333333333334,15.44549791353783,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-02 14:00:00,149.75,50.3125,6.029583333333334,16.930163460008544,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-02 16:00:00,161.04166666666666,49.270833333333336,6.85125,20.71017218383415,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-02 18:00:00,137.33333333333334,49.85,5.8325,25.388574401587164,0.0,1.0,0.0,1,moderate,test
VDS0015,2017-04-02 20:00:00,89.04166666666667,50.84583333333333,4.0112499999999995,16.564706238072052,0.0,1.0,0.0,1,moderate,test
